[16:56:12] [main/INFO]: Setting user: ozzy
[16:56:12] [main/INFO]: (Session ID is token:0:ozzy)
[16:56:12] [Client thread/INFO]: LWJGL Version: 2.9.0
[16:56:13] [Client thread/INFO]: Reloading ResourceManager: Default
[16:56:14] [Sound Library Loader/INFO]: Sound engine started
[16:56:23] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[16:56:23] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[16:56:24] [MCO Availability Checker #1/ERROR]: Couldn't connect to Realms
[16:56:28] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:56:36] [Client thread/ERROR]: Can't ping 192.210.234.66:25865: Internal Exception: java.io.IOException: An established connection was aborted by the software in your host machine
[16:56:37] [Client thread/ERROR]: Can't ping arda.mcme.co: Internal Exception: java.io.IOException: An existing connection was forcibly closed by the remote host
[16:56:43] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:57:12] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:57:19] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:57:33] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:57:56] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:58:06] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:58:18] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:58:46] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:58:50] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:58:54] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:58:59] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:59:29] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[16:59:42] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:00:03] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:00:21] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:00:27] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:00:48] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:00:58] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:01:26] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:01:55] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:02:19] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:02:21] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:02:41] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:02:43] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:02:46] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:03:14] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:03:27] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:03:30] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:03:56] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:04:23] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:04:51] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:05:01] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:05:02] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:05:17] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:05:39] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:05:56] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:06:12] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:06:40] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:06:58] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:07:09] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:07:27] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:07:32] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:07:50] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:08:10] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:08:27] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:08:40] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:09:01] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:09:08] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:09:24] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:09:53] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:10:18] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:10:36] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:10:38] [Client thread/WARN]: Unable to play empty soundEvent: minecraft:music.menu
[17:10:52] [Client thread/INFO]: Stopping!
